Day,Bin,GWC_30cm,GWC_10cm
16,8,16.00146733,1.563843719
16,9,11.92583233,5.009350719
16,10,10.84812567,7.576977956
16,11,11.662529,5.923456606
16,12,12.08865733,3.272106769
16,13,12.68150733,NA
16,14,11.18129067,9.098877719
16,15,11.81644733,5.300568513
16,16,13.883629,NA
16,17,10.840889,8.607812469
16,18,14.043949,9.426522894
16,19,13.68517733,8.747081794
16,20,11.63887067,5.911381231
16,21,12.191919,10.34425139
16,22,11.00148733,NA
16,23,NA,11.86816372
16,24,9.399400667,5.8991046
16,25,NA,12.05855213
16,26,11.90996733,NA
16,27,10.824189,NA
16,28,10.70367067,12.38820987
16,29,12.067504,NA
16,30,12.655344,6.416131906
16,31,NA,8.580642875
16,32,11.85402233,9.042324713
16,33,13.85412567,NA
16,34,10.81806567,NA
16,35,17.84932233,5.646930519
16,39,NA,10.71295284
16,40,14.069834,11.43345022
17,1,13.93094567,9.336360094
17,2,13.66430233,8.589296894
17,3,10.705619,11.61015321
17,4,11.89994733,8.0565716
17,5,23.18274567,NA
17,6,16.107234,6.847222794
17,7,7.186372333,NA
17,8,15.98894233,1.560221106
17,9,11.60101733,5.029073831
17,10,10.65663233,7.549003338
17,11,11.25143067,5.743332263
17,12,11.25059567,3.270295463
17,13,12.63057233,NA
17,14,10.560329,8.488870025
17,15,11.26145067,5.309625044
17,16,12.57991567,NA
17,17,10.730669,9.500182681
17,18,13.91814233,9.324284719
17,19,13.64092233,8.578429056
17,20,11.226659,5.732464425
17,21,11.87907233,9.923022063
17,22,10.41225567,NA
17,23,NA,12.1364383
17,24,8.741977333,5.695433275
17,25,NA,12.04869058
17,26,11.58348233,NA
17,27,10.63353067,NA
17,28,10.685579,11.58962507
17,29,11.23194733,NA
17,30,12.606079,6.480735163
17,31,NA,8.132847719
17,32,11.010394,8.641221006
17,33,12.55375233,NA
17,34,10.70589733,NA
17,35,17.08529733,5.642502881
17,39,NA,10.51531921
17,40,13.487839,10.5843501
18,1,13.73193733,9.113368169
18,2,13.465294,8.341751706
18,3,10.670549,11.07823294
18,4,11.60185233,7.762938731
18,5,23.000994,NA
18,6,16.222464,6.653614281
18,7,7.226174,NA
18,8,16.19045567,1.556195981
18,9,11.584039,4.886785663
18,10,10.49909567,7.632122169
18,11,10.88124733,5.620163438
18,12,10.839219,3.205289694
18,13,12.54540233,NA
18,14,10.28255233,8.156797213
18,15,10.87818567,5.212418275
18,16,11.87656733,NA
18,17,10.811664,8.118156013
18,18,13.71885567,9.099884
18,19,13.442749,8.333701456
18,20,10.86065067,5.608893088
18,21,11.579864,9.571024881
18,22,10.006724,NA
18,23,NA,12.22136844
18,24,8.473664,5.725420456
18,25,NA,12.19641266
18,26,11.565669,NA
18,27,10.47822067,NA
18,28,10.65440567,11.05931485
18,29,10.81695233,NA
18,30,12.52063067,6.342472119
18,31,NA,7.93259775
18,32,10.55003067,8.366506225
18,33,11.85096067,NA
18,34,10.79051067,NA
18,35,16.54700067,5.648540569
18,39,NA,10.14279389
18,40,13.055309,9.965688388
19,1,13.502034,8.980941556
19,2,13.37622733,8.194432131
19,3,10.56673067,10.89710231
19,4,11.39310233,7.582009363
19,5,23.13403733,NA
19,6,16.255864,6.533665556
19,7,7.139612333,NA
19,8,15.69947567,1.542711813
19,9,11.22554567,4.922206763
19,10,10.68001233,7.727316375
19,11,10.57842067,5.509875013
19,12,10.61432567,3.205692206
19,13,12.456614,NA
19,14,10.23746233,7.936421619
19,15,10.63659233,5.254279575
19,16,11.57262733,NA
19,17,10.47126233,7.711215875
19,18,13.490344,8.968262413
19,19,13.35451733,8.183363038
19,20,10.55559733,5.499610944
19,21,11.37751567,9.381038981
19,22,9.761512333,NA
19,23,NA,12.24411039
19,24,8.307499,5.665043581
19,25,NA,11.83958533
19,26,11.20940233,NA
19,27,10.658859,NA
19,28,10.548639,10.87677543
19,29,10.596234,NA
19,30,12.431564,6.431024869
19,31,NA,7.902811825
19,32,10.246369,8.1885957
19,33,11.54869067,NA
19,34,10.45066567,NA
19,35,16.11280067,5.587559925
19,39,NA,10.00050572
19,40,12.636974,9.864859006
20,1,13.166364,8.912715688
20,2,13.44970733,8.473775806
20,3,10.565339,11.74620243
20,4,11.342724,7.800372394
20,5,23.32358233,NA
20,6,16.06576233,7.047875275
20,7,7.201124,NA
20,8,15.39887567,1.546736938
20,9,11.28733567,4.963866806
20,10,10.58649233,7.632927194
20,11,10.39360733,5.622981025
20,12,10.63659233,3.295452494
20,13,12.392319,NA
20,14,10.16481733,8.342757988
20,15,10.76462567,5.381272269
20,16,11.812829,NA
20,17,10.394999,7.7377817
20,18,13.160519,8.9002378
20,19,13.42632733,8.459687869
20,20,10.37189733,5.612113188
20,21,11.327694,9.503604038
20,22,10.06127733,NA
20,23,NA,12.10443856
20,24,9.018362333,5.706301113
20,25,NA,11.62323486
20,26,11.27063567,NA
20,27,10.567009,NA
20,28,10.544464,11.72486927
20,29,10.61432567,NA
20,30,12.36587733,6.541917063
20,31,NA,7.847868869
20,32,10.80860233,8.2787585
20,33,11.78555233,NA
20,34,10.374959,NA
20,35,15.95804733,5.5609941
20,39,NA,10.76749329
20,40,12.27319233,10.613331
21,1,14.08430733,9.498371375
21,2,13.621439,9.177770169
21,3,10.87651567,13.25200169
21,4,12.04106233,8.660139094
21,5,23.543744,NA
21,6,15.62599567,7.844246256
21,7,7.703237333,NA
21,8,16.41507067,1.645151244
21,9,11.91748233,4.9878163
21,10,10.62490233,7.502110631
21,11,11.56706067,5.94257595
21,12,11.638314,3.304106513
21,13,12.68262067,NA
21,14,10.91798733,9.469591731
21,15,11.872949,5.507057425
21,16,13.286604,NA
21,17,10.84228067,8.580844131
21,18,14.08041067,9.483277156
21,19,13.601399,9.165493538
21,20,11.54173233,5.932110625
21,21,12.02046567,10.59642548
21,22,11.24475067,NA
21,23,NA,11.78826499
21,24,10.117779,6.070172413
21,25,NA,12.36043651
21,26,11.89660733,NA
21,27,10.601244,NA
21,28,10.856754,13.22684466
21,29,11.61549067,NA
21,30,12.65924067,6.581564544
21,31,NA,8.391260744
21,32,12.36448567,9.080362144
21,33,13.257379,NA
21,34,10.820014,NA
21,35,17.07861733,5.524365463
21,39,NA,11.99596144
21,40,12.69570233,12.19500387
22,1,13.967129,9.381441494
22,2,13.47336567,8.635585831
22,3,10.69671233,11.91626396
22,4,11.626624,8.146130631
22,5,23.30187233,NA
22,6,16.14091233,7.1163024
22,7,7.358104,NA
22,8,16.151489,1.512120863
22,9,11.74881233,4.841905519
22,10,10.48740567,7.600726194
22,11,11.334374,5.852010638
22,12,11.12952067,3.198446981
22,13,12.554309,NA
22,14,10.510229,8.698780294
22,15,11.311829,5.312040119
22,16,12.621109,NA
22,17,10.89071067,8.086156269
22,18,13.955439,9.36876235
22,19,13.44887233,8.623711713
22,20,11.31127233,5.840539031
22,21,11.605749,9.994669288
22,22,10.53166067,NA
22,23,NA,12.16038779
22,24,9.114944,5.82021215
22,25,NA,12.16582171
22,26,11.733504,NA
22,27,10.46736567,NA
22,28,10.67862067,11.89392452
22,29,11.10781067,NA
22,30,12.529259,6.401238944
22,31,NA,8.097024106
22,32,11.29958233,8.678453413
22,33,12.59466733,NA
22,34,10.86816567,NA
22,35,16.315984,5.621773488
22,39,NA,10.74173249
22,40,12.42432733,10.63426165
23,1,13.70855733,9.3317312
23,2,13.481994,8.425474306
23,3,10.71202067,11.42439369
23,4,11.509724,7.878057306
23,5,23.34891067,NA
23,6,16.273399,6.899750675
23,7,7.370350667,NA
23,8,15.518559,1.509705788
23,9,11.25560567,4.913754
23,10,10.57424567,7.664121913
23,11,10.886814,5.648741825
23,12,10.85981567,3.175302513
23,13,12.575184,NA
23,14,10.41865733,8.290833875
23,15,10.97142733,5.3452474
23,16,11.69064067,NA
23,17,10.56561733,8.023968088
23,18,13.689074,9.319655825
23,19,13.459449,8.412795163
23,20,10.86482567,5.638880269
23,21,11.48606567,9.3961332
23,22,10.167044,NA
23,23,NA,12.25960713
23,24,8.813787333,5.831079988
23,25,NA,11.71037882
23,26,11.238349,NA
23,27,10.55420567,NA
23,28,10.692259,11.40185299
23,29,10.83949733,NA
23,30,12.54818567,6.47067235
23,31,NA,8.033024619
23,32,10.734009,8.430304456
23,33,11.66447733,NA
23,34,10.545299,NA
23,35,15.759039,5.558981538
23,39,NA,10.44950841
23,40,12.16492067,10.26958533
24,1,13.44219233,9.221241519
24,2,13.77563567,8.627133069
24,3,10.73540067,11.97684209
24,4,11.84734233,8.125401238
24,5,23.42823567,NA
24,6,16.267554,7.391419694
24,7,7.584667333,NA
24,8,15.61736733,1.366008825
24,9,11.353579,4.80266055
24,10,10.78466567,7.711819644
24,11,10.92800733,5.740715931
24,12,11.07190567,3.116334431
24,13,12.64504567,NA
24,14,10.64271567,8.638403419
24,15,11.143159,5.229525056
24,16,12.16714733,NA
24,17,10.63603567,9.13691515
24,18,13.429389,9.206549813
24,19,13.748359,8.613850156
24,20,10.90462733,5.729848094
24,21,11.82841567,9.480660825
24,22,10.51162067,NA
24,23,NA,12.25155688
24,24,9.493755667,5.984034738
24,25,NA,11.77981223
24,26,11.33660067,NA
24,27,10.76546067,NA
24,28,10.71202067,11.95430139
24,29,11.04991733,NA
24,30,12.62083067,6.194146263
24,31,NA,8.194029619
24,32,11.214969,8.552265744
24,33,12.142654,NA
24,34,10.613769,NA
24,35,15.980314,5.639282781
24,39,NA,10.93473723
24,40,12.506714,11.01725229
25,1,14.07011233,9.783551481
25,2,14.01444567,9.176562631
25,3,10.99258067,13.47519488
25,4,12.48778733,9.107330481
25,5,23.63837733,NA
25,6,15.75375067,8.145728119
25,7,7.971829,NA
25,8,16.784419,1.488573881
25,9,12.08726567,4.754761563
25,10,11.22109233,7.733957831
25,11,12.104244,6.122700294
25,12,12.792284,3.141290206
25,13,12.955944,NA
25,14,11.62105733,9.767048469
25,15,12.25315233,5.277222788
25,16,14.27496567,NA
25,17,10.908524,8.600567244
25,18,14.05007233,9.767853494
25,19,13.98911733,9.16267595
25,20,12.081699,6.110423663
25,21,12.47108733,10.83934177
25,22,11.864599,NA
25,23,NA,11.88184914
25,24,10.53472233,6.264988463
25,25,NA,12.62408219
25,26,12.068339,NA
