"Bin","Day","GWC","Depth"
16,82,13.884464,30
16,82,NA,10
16,83,13.331694,30
16,83,NA,10
16,84,13.684064,30
16,84,NA,10
16,85,14.374609,30
16,85,NA,10
16,86,13.30469567,30
16,86,NA,10
16,87,12.75999733,30
16,87,NA,10
16,88,12.291284,30
16,88,NA,10
16,89,14.13301567,30
16,89,NA,10
16,90,14.71306233,30
16,90,NA,10
16,91,14.056474,30
16,91,NA,10
16,92,13.320839,30
16,92,NA,10
16,93,13.744184,30
16,93,NA,10
16,94,14.334529,30
16,94,NA,10
16,95,12.96707733,30
16,95,NA,10
16,96,12.51562067,30
16,96,NA,10
16,97,12.20917567,30
16,97,NA,10
16,98,13.70605233,30
16,98,NA,10
16,99,14.43779067,30
16,99,NA,10
16,100,13.246524,30
16,100,NA,10
16,101,12.07808067,30
16,101,NA,10
16,102,12.322179,30
16,102,NA,10
16,103,12.452439,30
16,103,NA,10
16,104,12.95705733,30
16,104,NA,10
16,105,14.29166567,30
16,105,NA,10
16,106,13.06477233,30
16,106,NA,10
16,107,12.65840567,30
16,107,NA,10
16,108,13.77201733,30
16,108,NA,10
16,109,13.61169733,30
16,109,NA,10
16,110,11.02431067,30
16,110,NA,10
16,111,12.71518567,30
16,111,NA,10
17,0,9.350970667,30
17,0,6.701513269,10
17,1,9.229339,30
17,1,6.462420844,10
17,2,9.136375667,30
17,2,6.302824638,10
17,3,9.991972333,30
17,3,7.042038844,10
17,4,10.37301067,30
17,4,7.009636588,10
17,5,10.33293067,30
17,5,6.833939881,10
17,6,10.297304,30
17,6,6.590419819,10
17,7,10.50995067,30
17,7,7.120327525,10
17,8,10.62518067,30
17,8,7.180301888,10
17,9,10.523589,30
17,9,6.924505194,10
17,10,10.47237567,30
17,10,6.7717517,10
17,11,10.816674,30
17,11,7.335671713,10
17,12,10.81778733,30
17,12,7.589455844,10
17,13,10.68613567,30
17,13,8.547435594,10
17,14,10.540289,30
17,14,8.65068005,10
17,15,10.79774733,30
17,15,8.7746539,10
17,16,10.840889,30
17,16,8.607812469,10
17,17,10.730669,30
17,17,9.500182681,10
17,18,10.811664,30
17,18,8.118156013,10
17,19,10.47126233,30
17,19,7.711215875,10
17,20,10.394999,30
17,20,7.7377817,10
17,21,10.84228067,30
17,21,8.580844131,10
17,22,10.89071067,30
17,22,8.086156269,10
17,23,10.56561733,30
17,23,8.023968088,10
17,24,10.63603567,30
17,24,9.13691515,10
17,25,10.908524,30
17,25,8.600567244,10
17,26,10.73623567,30
17,26,9.73585375,10
17,27,10.53806233,30
17,27,6.780003206,10
17,28,10.881804,30
17,28,7.282942575,10
17,29,10.94916067,30
17,29,7.305483275,10
17,30,10.76963567,30
17,30,6.92792655,10
17,31,10.474324,30
17,31,6.727877838,10
17,32,10.60486233,30
17,32,7.347344575,10
17,33,11.09027567,30
17,33,7.425230744,10
17,34,10.78383067,30
17,34,7.006013975,10
17,35,10.571184,30
17,35,6.696884375,10
17,36,10.80860233,30
17,36,7.435696069,10
17,37,11.025424,30
17,37,7.331847844,10
17,38,10.79886067,30
17,38,6.933561725,10
17,39,10.57146233,30
17,39,6.565262788,10
17,40,10.92995567,30
17,40,7.303873225,10
17,41,11.19353733,30
17,41,7.38196065,10
17,42,10.99647733,30
17,42,7.038818744,10
17,43,10.82864233,30
17,43,6.673136138,10
17,44,11.20383567,30
17,44,7.434891044,10
17,45,11.21051567,30
17,45,7.437104863,10
17,46,11.08276067,30
17,46,7.075849894,10
17,47,10.82613733,30
17,47,6.796506219,10
17,48,11.08582233,30
17,48,7.315747344,10
17,49,11.33326067,30
17,49,7.532902838,10
17,50,11.09779067,30
17,50,7.191572238,10
17,51,10.833374,30
17,51,6.843801438,10
17,52,11.117274,30
17,52,7.470915913,10
17,53,11.212464,30
17,53,7.459444306,10
17,54,11.04240233,30
17,54,7.110868481,10
17,55,10.93580067,30
17,55,6.749613513,10
17,56,11.188249,30
17,56,7.316149856,10
17,57,11.366939,30
17,57,7.545581981,10
17,58,11.167374,30
17,58,7.02774965,10
17,59,10.97254067,30
17,59,6.766116525,10
17,71,10.69532067,30
17,71,6.495628125,10
17,72,10.900174,30
17,72,7.114289838,10
17,73,11.257554,30
17,73,7.487016413,10
17,74,10.815004,30
17,74,7.141660688,10
17,75,10.49575567,30
17,75,6.652406744,10
17,76,10.90546233,30
17,76,7.487821438,10
17,77,11.25644067,30
17,77,7.689278944,10
