ID,X,Y,MAP,Dry_ratio,Fire,Elev.mn,Elev.sd,Slope.mn,Slope.sd,Curvat.mn,Curvat.sd,WCI
16,712752.9333,9814829.111,1074.166,0.4286815,0.076923077,1619,5.0249378,3.4456092,0.63028885,-0.018246378,0.098507935,-0.054872984
17,711324.9222,9814266.889,1090.039,0.4288252,0.153846154,1669,1.2649111,0.707691,0.37749256,0.017594721,0.06949358,0.100886998
18,747406.7,9813136,931.8965,0.3859028,0,1674.333,3.204164,2.6844014,0.75305684,0.023459627,0.058883197,0.226785884
19,748408.0778,9812567.333,934.0287,0.3830284,0.076923077,1706.75,7.804913,6.1170592,0.76111115,-0.052784162,0.150976269,0.058072025
20,711070.4667,9811856,1083.245,0.4258686,0.307692308,1663.5,2.5884358,2.1037493,0.31430028,-0.015639752,0.105089355,-0.055003424
21,711746.5556,9807734.667,1077.944,0.4193285,0.230769231,1711.667,3.7416574,2.705678,0.36536326,0.005213251,0.062375461,-0.041439834
22,716074.2111,9805922.778,1038.167,0.4139699,0.538461538,1659.333,4.6332134,3.2384243,0.57620167,-0.023459628,0.084909596,0.026926558
23,717700.1111,9804223.222,1009.934,0.4116,0.230769231,1616.333,1.8618987,1.290217,0.73621937,-0.037144411,0.068160886,-0.029241151
24,728006.4333,9803268.889,964.5406,0.3992285,0.307692308,1619.5,2.8867513,1.5966902,0.50619096,0.02639208,0.139899854,0.030640704
25,730877.9889,9803162,962.1718,0.3948238,0.076923077,1665.444,2.6034166,2.2338227,0.58654849,0.066468945,0.057164041,0.009199057
27,737529.8889,9779897.333,887.023,0.3606097,0.307692308,1684,3.0983867,1.8471227,0.91005101,-0.031279503,0.109198624,0.152928164
